Ex,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96
380,0.053869352,-0.016824707,0.016918659,0.057510957,0.078050226,0.041899532,0.041954726,0.024264991,-0.018520847,-0.003179088,0.031717896,0.101860836,0.089296386,0.048445582,0.112106115,0.029686093,0.07054159,0.141205043,0.173901409,0.127160728,0.082297131,0.126744181,0.146651119,0.140293986,0.335788868,0.573695384,0.346891902,0.406044357,0.298546784,0.443640314,0.521873198,0.462946318,0.317003958,0.340449028,0.397719555,0.456500463,0.383081906,0.470235936,0.326827072,0.394918285,0.348089807,0.42104619,0.448816113,0.522055171,0.466050915,0.502382599,0.498473845,0.42552527,0.48700727,0.454596916,0.425701329,0.331008324,0.442306885,0.496723512,0.417313019,0.527773688,0.448370257,0.34679688,0.400154183,0.179326544,0.39918665,0.444808582,0.360443035,0.481969455,0.326100895,0.412516931,0.483530054,0.401136169,0.350197623,0.275669077,0.311131695,0.4575227,0.352948293,0.520944819,0.458758339,0.455140606,0.469515905,0.453222618,0.284544021,0.3916163,0.377798304,0.39259319,0.261229694,0.380211577,0.389398143,0.378902718,0.398043886,0.395770028,0.415432557,0.343760237,0.318348661,0.428817764,0.524504736,0.463852182,0.226674855,0.276453435
381.0700073,0.009509951,0.034822702,-0.071498461,-0.028706312,-0.033635795,-0.09809652,-0.006426767,-0.001071066,0.026072547,-0.042239845,0.023931906,-0.216178898,0.121769205,0.156778321,0.144664928,0.10426338,0.061902389,0.08488749,0.17791678,0.19225575,0.081084505,0.127492562,0.108547643,-0.035075724,0.292220846,0.380746529,0.393081233,0.253052488,0.209101692,0.39499028,0.403906569,0.41663225,0.35175465,0.238837972,0.357547745,0.308154151,0.282978579,0.407643929,0.269011244,0.280906424,0.258474424,0.292804345,0.387007192,0.452004656,0.421007767,0.405761585,0.396435276,0.317921564,0.342096576,0.437395493,0.436051974,0.436071852,0.420436898,0.49556906,0.368144045,0.371171573,0.408101359,0.330661872,0.294463793,0.240911791,0.479667256,0.373655388,0.447902182,0.20035083,0.358403781,0.382803002,0.345353315,0.376548329,0.339062968,0.35937498,0.317278633,0.435776213,0.354793937,0.343162925,0.4036434,0.397380144,0.265123756,0.438111753,0.556066574,0.345707328,0.392177762,0.381281049,0.319257558,0.280509503,0.499607117,0.359927208,0.311781527,0.353870423,0.439934612,0.276564748,0.279412926,0.35135162,0.404779197,0.316508324,0.334697277,0.42502755
382,0.205671232,0.215216544,0.038244937,0.101051178,0.158428382,0.178353515,0.084747855,0.156596061,0.115594279,0.14969125,0.098019082,0.205250081,0.346856814,0.27332307,0.157336753,0.318429213,0.155882131,0.268423926,0.207817134,0.134424862,0.149017211,0.309122782,0.312271189,0.171814125,0.295591168,0.381098025,0.35263481,0.313309126,0.334029846,0.375118904,0.455439858,0.266013049,0.231805466,0.364431821,0.297399662,0.329136841,0.452674888,0.375379555,0.319400273,0.306173705,0.358538054,0.301351659,0.347920261,0.471134327,0.466305338,0.44898691,0.3455097,0.40705999,0.321203977,0.393714845,0.333642036,0.25532788,0.539701313,0.281521827,0.286586732,0.25198257,0.295203805,0.291781992,0.311850786,0.121637151,0.219553143,0.463336617,0.375483274,0.373624504,0.359851629,0.418322355,0.406905293,0.289762288,0.301527202,0.389434576,0.4094446,0.244812667,0.317737658,0.393330742,0.417352159,0.437375534,0.266067374,0.275061984,0.38213395,0.372661907,0.43151604,0.168775488,0.256676961,0.289963175,0.418918867,0.399114717,0.380250622,0.264566589,0.277516175,0.245874543,0.292568225,0.231529791,0.400801647,0.24435823,0.289583791,0.253552604
383.0700073,0.044000819,0.16737771,0.060502872,0.039059862,0.109543324,0.075701684,0.060961202,0.102978751,0.182792231,0.10912247,0.05533623,0.184962675,0.125204027,0.209988758,0.140779629,0.21581088,0.145253003,0.190093353,0.205955371,0.07208018,0.091046154,0.21165131,0.287449643,0.205971643,0.283877663,0.348806553,0.345753394,0.157615177,0.237698399,0.393365793,0.246880196,0.314164661,0.187209688,0.344304673,0.441045187,0.416266493,0.454423033,0.353551112,0.30084499,0.337052606,0.356030814,0.180665247,0.407475315,0.296020739,0.419979535,0.523382328,0.266351037,0.297441088,0.21859169,0.312648118,0.365912169,0.328095496,0.278870881,0.311693221,0.226911485,0.210202873,0.339197576,0.19356969,0.411349744,0.223008364,0.287161916,0.252452791,0.431576341,0.111777142,0.337961495,0.247492582,0.260128915,0.311805844,0.173054039,0.184131265,0.274261892,0.282198161,0.327546377,0.522325564,0.360478539,0.476169128,0.424293716,0.421380986,0.297049914,0.355064053,0.374491531,0.352750201,0.526506741,0.434016395,0.360917676,0.338289578,0.427702356,0.355997909,0.414520044,0.492960948,0.385279734,0.402806092,0.466644395,0.328791607,0.345980395,0.326610047
384,0.063603193,0.270623416,0.087676555,0.076521561,0.051465571,0.004011489,0.197981536,0.140251383,0.17337355,0.141380966,0.262212425,0.113284901,0.145272195,0.24317047,0.221233696,0.12991555,0.162458852,0.155543163,0.301946789,0.210995644,0.123994201,0.374131829,0.357337803,0.141149059,0.369515002,0.343592674,0.317734659,0.362046748,0.273376822,0.358956635,0.410391092,0.468256116,0.493583441,0.331886321,0.494784683,0.488965243,0.430009276,0.395704567,0.449345887,0.341875643,0.344466478,0.208116546,0.373946607,0.485704541,0.48369807,0.548818052,0.397740841,0.411686391,0.314490162,0.414485477,0.553533249,0.429406904,0.383815996,0.290166371,0.456121854,0.375851326,0.33267393,0.351183318,0.363639615,0.336794399,0.650945477,0.449596189,0.475242428,0.299331091,0.522785686,0.467401527,0.55388128,0.318893127,0.341793619,0.375354312,0.338394754,0.406345092,0.337719351,0.485598177,0.365487844,0.432268858,0.287769765,0.228611395,0.408366412,0.627455235,0.355716109,0.313058436,0.266159177,0.366166234,0.378170431,0.465283215,0.455024123,0.433645636,0.31037879,0.323115379,0.431754887,0.369817615,0.479138076,0.446933627,0.31342411,0.38326329
385.0700073,0.164385229,0.145580381,0.083387762,0.098962352,0.085158542,0.022672467,0.179632366,0.069503844,0.132756233,0.091672868,0.146399453,0.025678001,0.228243828,0.184435695,0.167627394,0.233950973,0.219974726,0.205478787,0.309501827,0.216771334,0.229632527,0.101338282,0.244952202,0.21177727,0.334555478,0.438936532,0.46045074,0.483570696,0.379624278,0.36020276,0.379469664,0.460511328,0.351181746,0.4068698,0.365141542,0.333365173,0.528911204,0.396293373,0.427554936,0.443782509,0.441288591,0.256860019,0.373573513,0.500558526,0.485142888,0.553220839,0.257956685,0.344484807,0.517867927,0.418667767,0.617946479,0.430998418,0.403686319,0.475835893,0.442435686,0.485178087,0.366951678,0.446631346,0.495923761,0.26286054,0.498005722,0.550523851,0.472024355,0.447712336,0.517914061,0.526108239,0.367282573,0.34899408,0.407232914,0.406597499,0.328797016,0.432380769,0.139689893,0.229148597,0.194170088,0.159487247,0.068301976,0.237072021,0.142153829,0.320170552,0.292909414,0.125270724,0.215840071,0.104974151,0.21704638,0.264655024,0.241226941,0.246339172,0.068057179,0.224251747,0.246688247,0.226970136,0.219422162,0.257208556,0.062229842,0.218175769
386,0.133901812,0.084103994,0.039089851,0.055243395,0.078461386,0.114174075,0.112598799,-0.009759046,0.143721543,0.000550494,0.012919821,0.124936961,0.080619656,0.278904207,0.141250245,0.270544447,0.148979612,0.167115085,0.197570898,0.18894846,0.178888418,0.267387427,0.18884144,0.119813837,0.363948531,0.501594044,0.411248095,0.432334311,0.280983873,0.434712149,0.302325346,0.448960967,0.451545395,0.375275947,0.141392268,0.366206326,0.55600331,0.381250001,0.266701199,0.420959301,0.317668743,0.326431341,0.292261727,0.482551135,0.458209284,0.386729278,0.314585544,0.482973255,0.513296247,0.457038493,0.451372177,0.403128506,0.539692522,0.421100826,0.431621284,0.434085906,0.242741303,0.43343857,0.361693055,0.361927719,0.429688365,0.5778085,0.364389361,0.339268536,0.356839568,0.47665915,0.410461397,0.494335593,0.469242216,0.356341095,0.451754988,0.383750261,0.226128995,0.483998686,0.338615835,0.292251348,0.285193652,0.250792742,0.378515393,0.441402853,0.35815382,0.311397642,0.252468139,0.2865026,0.469986171,0.336318165,0.326629341,0.234221697,0.272073001,0.267416269,0.320520133,0.332960665,0.331691533,0.294898152,0.365353853,0.315242916
387.0700073,0.17812185,0.238303125,0.195470601,0.099364415,0.126210108,0.073467731,0.133375525,0.138496488,0.239002049,-0.0259276,0.06957484,0.123248994,0.254902154,0.221155316,0.184230462,0.178033546,0.256540716,0.230645359,0.244149178,0.228302866,0.000441723,0.319760352,0.347842634,0.130947053,0.38731616,0.417299561,0.396998964,0.34812241,0.37432494,0.427045546,0.349684797,0.482350193,0.367497198,0.406337909,0.39326819,0.145636223,0.579929434,0.466975532,0.435568027,0.421922885,0.350928955,0.305356495,0.419310741,0.487704061,0.504325531,0.374453805,0.371807836,0.343726449,0.394474637,0.558172893,0.431308519,0.496052843,0.325612288,0.383928936,0.434077572,0.447744947,0.490244847,0.328685623,0.390563469,0.305107366,0.566189062,0.563623618,0.361689847,0.40097345,0.34511764,0.47137944,0.333096813,0.390510123,0.483074974,0.533514481,0.329580586,0.476560783,0.470525801,0.338440329,0.331827343,0.373055458,0.397093266,0.257228136,0.266718388,0.51856333,0.315365881,0.221023202,0.349338651,0.203528672,0.382616848,0.360557497,0.342196643,0.328155756,0.320003957,0.294819206,0.381242871,0.249753356,0.563262999,0.29299736,0.280433387,0.323767096
388,0.1425687,0.233280785,0.135681681,0.223966397,0.189575799,0.281059034,0.173211165,0.254765473,0.149759866,0.163580768,0.200428791,0.144010194,0.274872445,0.327975728,0.332839765,0.310596563,0.240435801,0.422950514,0.259070791,0.283024944,0.229594193,0.271118544,0.308861978,0.288000233,0.308241373,0.472070342,0.320364064,0.298737889,0.4068237,0.286436236,0.518414235,0.499495601,0.435655033,0.326450413,0.342229402,0.211150786,0.398292935,0.426993763,0.377439624,0.383438295,0.290301865,0.289114064,0.397831535,0.602791941,0.529046511,0.432218557,0.384678071,0.371887898,0.406595675,0.497374026,0.269937156,0.399935303,0.398585556,0.439069269,0.338452576,0.440426586,0.361729233,0.327939807,0.233540265,0.27229598,0.468796013,0.404368458,0.486497669,0.257912843,0.558693675,0.346106766,0.498145191,0.379976777,0.342755137,0.30762714,0.440210102,0.408424525,0.285688411,0.280565839,0.302857559,0.164765727,0.27357037,0.368895512,0.303975891,0.429857235,0.346666735,0.150047477,0.306041908,0.276020002,0.365812909,0.275711965,0.301713895,0.262601536,0.218601685,0.351485353,0.285469394,0.314845603,0.460965704,0.298601132,0.368682932,0.261874121
389.0700073,0.070956822,0.218119968,0.053873438,0.221579719,0.05203319,0.064448748,0.10757092,0.168921266,0.088628057,0.119214509,0.052838836,0.202427555,0.228892643,0.281802643,0.213030297,0.254545409,0.32123189,0.127224091,0.262029219,0.287616957,0.212767947,0.16758718,0.202854235,0.33797108,0.388664059,0.382593177,0.37737783,0.320156686,0.342750065,0.372494332,0.373449318,0.453407399,0.416614436,0.350161634,0.422592722,0.205099486,0.600489013,0.5180903,0.25849276,0.339720629,0.462928735,0.360111795,0.482417159,0.501234286,0.427961968,0.581035368,0.282908641,0.387393855,0.263068195,0.454413738,0.440147456,0.460581716,0.353329297,0.432408836,0.397798445,0.365299936,0.388503578,0.276883956,0.346670743,0.230300065,0.461142238,0.413685765,0.465288635,0.329021867,0.446118291,0.320244666,0.399669256,0.352072742,0.327752586,0.390786704,0.335022893,0.388960417,0.233106408,0.387843344,0.303651962,0.238987271,0.40592644,0.213273782,0.278935168,0.447363917,0.338417236,0.206719179,0.269277338,0.202902753,0.49121565,0.34063584,0.393494967,0.277236972,0.288912121,0.341248516,0.305926356,0.304029677,0.32670987,0.240522806,0.385641817,0.281620894
